"start","stop","mission(s)","instrument(s)","region","D","R","Conf","NConf"
"2020-07-23T21:02:24","2020-07-23T21:02:40","PSP","","Sun","8791","1","74723.0","0.9815"
"2020-07-23T21:29:00","2020-07-23T21:29:59","PSP","","Sun","3365","1","10095.0","0.9975"
"2020-07-23T21:29:00","2020-07-23T21:29:59","PSP","","Sun","22218","1","66654.0","0.9835"
"2020-07-23T21:29:00","2020-07-23T21:29:59","PSP","","Sun","3365","1","28602.0","0.9929"
"2020-07-23T21:29:00","2020-07-23T21:29:59","SolarOrbiter","PAS","Heliosphere.Inner","1401","1","1984.0","0.9995"
"2020-07-23T22:00:00","2020-07-23T02:00:00","STEREO A","EUVI","Heliosphere.Remote1AU","921","1","11052.0","0.9973"
"2020-07-23T22:00:00","2020-07-23T02:00:00","SolarOrbiter","PAS","Heliosphere.Inner","352","1","498.0","0.9999"
"2020-08-08T00:00:00","2020-08-08T23:59:59","SolarOrbiter","SWA/PAS,MAG,PAS","Heliosphere.Inner","225","1","567.0","0.9999"
"2020-08-08T00:00:00","2020-08-08T00:00:00","SolarOrbiter","SWA/PAS,MAG,PAS","Heliosphere.Inner","458","1","1154.0","0.9997"
"2020-10-15T00:00:00","2020-10-15T23:59:59","BepiColombo","","Mercury","202","1","1333.0","0.9997"
"2020-11-19T00:00:00","2020-11-19T23:59:59","SolarOrbiter","EUI","Heliosphere.Inner","3780","1","7560.0","0.9981"
"2020-11-19T12:00:00","2020-11-19T12:39:00","SolarOrbiter","EUI","Heliosphere.Inner","3860","1","7720.0","0.9981"
"2020-11-19T12:13:15","2020-11-19T12:16:45","SDO","","Earth.Magnetosphere","8589","1","17178.0","0.9958"
"2020-11-19T13:00:00","2020-11-19T13:39:00","SolarOrbiter","EUI","Heliosphere.Inner","3885","1","7770.0","0.9981"
"2020-11-19T13:09:00","2020-11-19T13:09:59","SDO","","Earth.Magnetosphere","5702","1","11404.0","0.9972"
"2020-11-19T13:10:00","2020-11-19T13:12:45","SDO","","Earth.Magnetosphere","1672","1","3344.0","0.9992"
"2020-11-19T13:15:00","2020-11-19T13:15:59","SDO","","Earth.Magnetosphere","5708","1","11416.0","0.9972"
"2020-11-19T14:00:00","2020-11-19T14:39:00","SolarOrbiter","EUI","Heliosphere.Inner","3914","1","7828.0","0.9981"
"2020-11-19T14:01:00","2020-11-19T14:09:00","SDO","","Earth.Magnetosphere","10718","1","21436.0","0.9947"
"2020-12-27T00:00:00","2020-12-27T23:59:59","SolarOrbiter","STEP,EPD/STEP","Heliosphere.Inner","101","1","196.0","1.0000"
"2020-12-27T04:40:00","2020-12-27T04:40:59","SolarOrbiter","STEP,EPD/STEP","Heliosphere.Inner","1975","1","3833.0","0.9991"
"2020-12-27T08:00:00","2020-12-27T08:00:59","SolarOrbiter","STEP,EPD/STEP","Heliosphere.Inner","1267","1","2459.0","0.9994"
"2020-12-27T08:00:00","2020-12-27T08:00:59","SolarOrbiter","STEP,EPD/STEP","Heliosphere.Inner","1585","1","3076.0","0.9992"
"2020-12-27T08:20:00","2020-12-27T08:20:59","SolarOrbiter","STEP,EPD/STEP","Heliosphere.Inner","6589","1","12790.0","0.9968"
"2020-12-27T08:45:00","2020-12-27T08:45:59","SolarOrbiter","STEP,EPD/STEP","Heliosphere.Inner","6600","1","12811.0","0.9968"
"2020-12-27T09:10:00","2020-12-27T09:10:59","SolarOrbiter","STEP,EPD/STEP","Heliosphere.Inner","1795","1","3484.0","0.9991"
"2020-12-27T09:10:00","2020-12-27T09:10:59","SolarOrbiter","STEP,EPD/STEP","Heliosphere.Inner","397","1","770.0","0.9998"
"2020-12-27T09:28:00","2020-12-27T09:28:59","SolarOrbiter","STEP,EPD/STEP","Heliosphere.Inner","1203","1","2335.0","0.9994"
"2020-12-27T09:34:00","2020-12-27T09:34:59","SolarOrbiter","STEP,EPD/STEP","Heliosphere.Inner","2993","1","5809.0","0.9986"
"2020-12-27T09:38:00","2020-12-27T09:38:59","SolarOrbiter","STEP,EPD/STEP","Heliosphere.Inner","951","1","1846.0","0.9995"
"2020-12-27T10:00:00","2020-12-27T10:00:59","SolarOrbiter","STEP,EPD/STEP","Heliosphere.Inner","5605","1","10880.0","0.9973"
"2020-12-27T10:00:00","2020-12-27T13:00:00","SolarOrbiter","STEP,EPD/STEP","Heliosphere.Inner","6109","1","11858.0","0.9971"
"2020-12-27T10:30:00","2020-12-27T15:00:00","SolarOrbiter","STEP,EPD/STEP","Heliosphere.Inner","1130","1","2193.0","0.9995"
"2020-12-27T10:30:00","2020-12-27T10:30:59","SolarOrbiter","STEP,EPD/STEP","Heliosphere.Inner","199","1","386.0","0.9999"
"2020-12-27T10:45:00","2020-12-27T10:45:59","SolarOrbiter","STEP,EPD/STEP","Heliosphere.Inner","1868","1","3626.0","0.9991"
"2020-12-27T11:30:00","2020-12-27T11:30:59","SolarOrbiter","STEP,EPD/STEP","Heliosphere.Inner","1918","1","3723.0","0.9991"
"2020-12-27T11:30:00","2020-12-27T11:30:59","SolarOrbiter","STEP,EPD/STEP","Heliosphere.Inner","2030","1","3940.0","0.9990"
"2020-12-27T11:30:20","2020-12-27T11:30:30","SolarOrbiter","STEP,EPD/STEP","Heliosphere.Inner","11369","1","22069.0","0.9945"
"2020-12-27T11:31:00","2020-12-27T11:31:10","SolarOrbiter","STEP,EPD/STEP","Heliosphere.Inner","11541","1","22403.0","0.9945"
"2020-12-27T12:20:00","2020-12-27T12:20:59","SolarOrbiter","STEP,EPD/STEP","Heliosphere.Inner","257","1","498.0","0.9999"
"2020-12-27T12:39:40","2020-12-27T12:39:46","SolarOrbiter","STEP,EPD/STEP","Heliosphere.Inner","1776","1","3447.0","0.9991"
"2020-12-27T12:39:54","2020-12-27T12:40:00","SolarOrbiter","STEP,EPD/STEP","Heliosphere.Inner","1814","1","3521.0","0.9991"
"2020-12-27T12:40:00","2020-12-27T12:40:59","SolarOrbiter","STEP,EPD/STEP","Heliosphere.Inner","473","1","918.0","0.9998"
"2020-12-27T12:40:00","2020-12-27T12:40:59","SolarOrbiter","STEP,EPD/STEP","Heliosphere.Inner","1147","1","2226.0","0.9994"
"2020-12-27T13:00:00","2020-12-27T13:00:59","SolarOrbiter","STEP,EPD/STEP","Heliosphere.Inner","7774","1","15090.0","0.9963"
"2020-12-27T13:25:00","2020-12-27T13:25:59","SolarOrbiter","STEP,EPD/STEP","Heliosphere.Inner","7782","1","15106.0","0.9963"
"2020-12-27T13:29:00","2020-12-27T13:29:59","SolarOrbiter","STEP,EPD/STEP","Heliosphere.Inner","7877","1","15290.0","0.9962"
"2021-02-23T00:00:00","2021-02-23T23:59:59","SolarOrbiter","EUI/HRI,EUI","Heliosphere.Inner","55","1","61.0","1.0000"
"2021-02-23T00:00:00","2021-02-23T00:00:00","SolarOrbiter","EUI/HRI,EUI","Heliosphere.Inner","8296","1","9333.0","0.9977"
"2021-02-23T00:00:00","2021-02-23T23:59:59","SolarOrbiter","SPICE,EUI,EUI/HRI","Heliosphere.Inner","1266","1","1688.0","0.9996"
"2021-02-23T16:55:15","2021-02-23T16:58:55","SolarOrbiter","SPICE,EUI,EUI/HRI","Heliosphere.Inner","1321","1","1761.0","0.9996"
"2021-02-23T16:59:08","2021-02-23T17:16:45","SolarOrbiter","SPICE,EUI,EUI/HRI","Heliosphere.Inner","1579","1","2105.0","0.9995"
"2021-02-23T17:13:25","2021-02-23T17:20:59","SolarOrbiter","EUI/HRI,EUI","Heliosphere.Inner","257","1","289.0","0.9999"
"2021-02-23T17:13:25","2021-02-23T17:20:59","SolarOrbiter","SPICE,EUI,EUI/HRI","Heliosphere.Inner","1389","1","1852.0","0.9995"
"2021-02-23T17:17:00","2021-02-23T17:17:20","SolarOrbiter","EUI/HRI,EUI","Heliosphere.Inner","2273","1","2557.0","0.9994"
"2021-02-23T17:17:20","2021-02-23T17:17:40","SolarOrbiter","EUI/HRI,EUI","Heliosphere.Inner","4998","1","5622.0","0.9986"
"2021-02-23T17:19:20","2021-02-23T17:20:00","SolarOrbiter","EUI/HRI,EUI","Heliosphere.Inner","7925","1","8915.0","0.9978"
"2021-02-23T17:19:40","2021-02-23T17:20:00","SolarOrbiter","EUI/HRI,EUI","Heliosphere.Inner","6776","1","7623.0","0.9981"
"2021-02-23T17:20:00","2021-02-23T17:21:00","SolarOrbiter","EUI/HRI,EUI","Heliosphere.Inner","7267","1","8175.0","0.9980"
"2021-02-23T17:42:00","2021-02-23T17:42:59","SDO","HMI,AIA","Earth.Magnetosphere","83","1","332.0","0.9999"
"2021-08-09T00:00:00","2021-08-09T23:59:59","SolarOrbiter","STEP,EPD/STEP","Heliosphere.Inner","98","1","190.0","1.0000"
"2021-08-10T00:00:00","2021-08-10T23:59:59","BepiColombo","","Mercury","24","1","158.0","1.0000"
"2021-08-11T00:00:00","2021-08-11T23:59:59","BepiColombo","","Mercury","794","2","10480.0","0.9974"
"2021-08-15T00:00:00","2021-08-15T23:59:59","SolarOrbiter","STEP,EPD/STEP","Heliosphere.Inner","302","1","586.0","0.9999"
"2021-09-14T00:00:00","2021-09-14T23:59:59","SolarOrbiter","EUI","Heliosphere.Inner","185","1","246.0","0.9999"
"2021-09-14T03:28:16","2021-09-14T03:29:28","SolarOrbiter","EUI","Heliosphere.Inner","19383","1","25844.0","0.9936"
"2021-09-14T03:29:00","2021-09-14T03:29:59","SolarOrbiter","EUI","Heliosphere.Inner","1661","1","2214.0","0.9995"
"2021-09-14T03:58:00","2021-09-14T03:58:59","SolarOrbiter","EUI","Heliosphere.Inner","7887","1","10516.0","0.9974"
"2021-09-14T04:11:00","2021-09-14T04:30:00","SolarOrbiter","EUI","Heliosphere.Inner","198","1","264.0","0.9999"
"2021-09-14T04:26:00","2021-09-14T04:26:59","SolarOrbiter","EUI","Heliosphere.Inner","1747","1","2329.0","0.9994"
"2022-03-17T00:00:00","2022-03-17T23:59:59","SolarOrbiter","EUI,EUI/HRI","Heliosphere.Inner","1245","1","4980.0","0.9988"
"2022-03-17T00:00:00","2022-03-17T00:00:00","Hinode","XRT","Earth.NearSurface","476","1","3808.0","0.9991"
"2022-03-17T00:00:00","2022-03-17T23:59:59","SolarOrbiter","EUI,EUI/HRI","Heliosphere.Inner","185","1","740.0","0.9998"
"2022-03-17T00:00:00","2022-03-17T23:59:59","SolarOrbiter","EUI,EUI/HRI","Heliosphere.Inner","10297","1","41188.0","0.9898"
"2022-03-17T03:32:00","2022-03-17T03:32:59","SolarOrbiter","EUI,EUI/HRI","Heliosphere.Inner","207","1","828.0","0.9998"
"2022-03-17T03:34:00","2022-03-17T03:34:59","SolarOrbiter","EUI,EUI/HRI","Heliosphere.Inner","5164","1","20656.0","0.9949"
"2022-03-19T00:00:00","2022-03-19T23:59:59","SolarOrbiter","EUI,EUI/HRI","Heliosphere.Inner","8116","1","32464.0","0.9920"

